Layer_i,Layer_j,AUC,Diff_P_N,AUC_abs
14,32,0.714312,0.055992222726345076,0.21431199999999995
15,32,0.711741,0.05577888238430018,0.21174099999999996
29,32,0.710474,0.06334697985649107,0.21047400000000005
5,32,0.7068400000000001,0.04575170385837557,0.20684000000000013
7,32,0.706536,0.043631813943386,0.20653600000000005
16,32,0.7041545,0.053078937828540784,0.20415450000000002
17,32,0.703746,0.05275159698724741,0.20374599999999998
10,32,0.7037329999999999,0.05094595366716381,0.20373299999999994
10,31,0.7035469999999999,0.04988009512424463,0.20354699999999992
6,32,0.703278,0.0438536271452904,0.20327799999999996
4,32,0.703201,0.04680019193887708,0.20320099999999996
1,31,0.7025659999999999,0.04975445073842999,0.2025659999999999
12,32,0.7025279999999999,0.0530364665985108,0.20252799999999993
14,31,0.7022079999999999,0.052354583203792604,0.20220799999999994
10,30,0.701421,0.04963158094882969,0.20142099999999996
9,32,0.700999,0.045586113870143885,0.20099900000000004
8,32,0.7006429999999999,0.043354796707630094,0.2006429999999999
15,30,0.700509,0.04940399193763734,0.20050900000000005
15,31,0.6996550000000001,0.05166047817468644,0.19965500000000014
18,32,0.699107,0.05086967349052429,0.19910700000000003
