Scope,Statistic,Cohen_d,Z,EmpiricalP
Global,T1,57.0097,57.0097,0.000999001
Global,T2,8.01274,8.01274,0.000999001
Global,T3,62.0306,62.0306,0.000999001
Global,T3_std,8.05208,8.05208,0.000999001
Global,T_max,93.7157,93.7157,0.000999001
CBS,T1,2.24536,2.24536,0.02997
CBS,T2,,,1
CBS,T3,16.1119,16.1119,0.000999001
CBS,T3_std,18.5,18.5,0.000999001
CBS,T_max,-4.19909,-4.19909,1
GAL4,T1,6.28689,6.28689,0.000999001
GAL4,T2,,,1
GAL4,T3,5.18363,5.18363,0.000999001
GAL4,T3_std,4.59114,4.59114,0.000999001
GAL4,T_max,8.05803,8.05803,0.000999001
PABP,T1,56.552,56.552,0.000999001
PABP,T2,,,0.000999001
PABP,T3,38.7079,38.7079,0.000999001
PABP,T3_std,42.7976,42.7976,0.000999001
PABP,T_max,57.0728,57.0728,0.000999001
PTEN,T1,2.87928,2.87928,0.00699301
PTEN,T2,,,1
PTEN,T3,14.5669,14.5669,0.000999001
PTEN,T3_std,17.0452,17.0452,0.000999001
PTEN,T_max,9.04343,9.04343,0.000999001
TEM1,T1,23.5883,23.5883,0.000999001
TEM1,T2,,,1
TEM1,T3,15.1932,15.1932,0.000999001
TEM1,T3_std,15.9358,15.9358,0.000999001
TEM1,T_max,14.0858,14.0858,0.000999001
