Protein,Statistic,T_obs,null_mean,null_std,effect_raw,z_score,cohens_d,p_empirical,p_bonferroni,p_fdr,two_sided,null_ci95_low,null_ci95_high,null_ci99_low,null_ci99_high,n_perm_effective
CBS,T1,0.000582635,1.20602e-05,0.000254113,0.000570575,2.24536,2.24536,0.02997,0.599401,0.0374625,True,-0.000512427,0.000496687,-0.000682255,0.000677062,1000
CBS,T2,0,0,0,0,,,1,1,1,False,0,0,0,0,1000
CBS,T3,0.64414,-0.0212488,0.041298,0.665388,16.1119,16.1119,0.000999001,0.01998,0.00142714,False,-0.10323,0.0603716,-0.122232,0.0788364,1000
CBS,T3_std,0.268332,-0.00766456,0.0149188,0.275996,18.5,18.5,0.000999001,0.01998,0.00142714,False,-0.0373126,0.0219018,-0.0447766,0.0281435,1000
CBS,T_max,19.7278,19.9227,0.046436,-0.194989,-4.19909,-4.19909,1,,,False,19.8322,20.0146,19.7996,20.0387,1000
GAL4,T1,0.004565,-1.6647e-06,0.000726379,0.00456667,6.28689,6.28689,0.000999001,0.01998,0.00142714,True,-0.00147366,0.00145237,-0.00182698,0.00174197,1000
GAL4,T2,0,0,0,0,,,1,1,1,False,0,0,0,0,1000
GAL4,T3,-18.9654,-22.5484,0.691216,3.58301,5.18363,5.18363,0.000999001,0.01998,0.00142714,False,-23.8845,-21.2147,-24.3129,-20.697,1000
GAL4,T3_std,-1.01563,-1.15594,0.0305611,0.14031,4.59114,4.59114,0.000999001,0.01998,0.00142714,False,-1.21293,-1.09347,-1.23921,-1.07798,1000
GAL4,T_max,216.461,210.454,0.745457,6.00692,8.05803,8.05803,0.000999001,,,False,209.066,211.931,208.6,212.615,1000
PABP,T1,0.00341821,3.54767e-07,6.04374e-05,0.00341785,56.552,56.552,0.000999001,0.01998,0.00142714,True,-0.000121781,0.000121602,-0.000154575,0.000149955,1000
PABP,T2,1,0,0,1,,,0.000999001,0.01998,0.00142714,False,0,0,0,0,1000
PABP,T3,0.0434395,-0.00526801,0.00125833,0.0487075,38.7079,38.7079,0.000999001,0.01998,0.00142714,False,-0.00766105,-0.00267701,-0.00834246,-0.00194854,1000
PABP,T3_std,0.37272,-0.0404124,0.00965317,0.413132,42.7976,42.7976,0.000999001,0.01998,0.00142714,False,-0.0583424,-0.0204892,-0.064162,-0.0149133,1000
PABP,T_max,0.720749,0.573437,0.00258112,0.147312,57.0728,57.0728,0.000999001,,,False,0.56848,0.578253,0.566859,0.57984,1000
PTEN,T1,0.00103486,1.47821e-05,0.000354281,0.00102007,2.87928,2.87928,0.00699301,0.13986,0.00932401,True,-0.000660861,0.000708969,-0.00091358,0.000971143,1000
PTEN,T2,0,0,0,0,,,1,1,1,False,0,0,0,0,1000
PTEN,T3,2.84216,2.13778,0.0483545,0.704374,14.5669,14.5669,0.000999001,0.01998,0.00142714,False,2.04015,2.23123,2.00502,2.25334,1000
PTEN,T3_std,0.34908,0.252512,0.0056654,0.0965676,17.0452,17.0452,0.000999001,0.01998,0.00142714,False,0.241098,0.263698,0.236915,0.266431,1000
PTEN,T_max,46.8851,46.4268,0.0506776,0.4583,9.04343,9.04343,0.000999001,,,False,46.3266,46.5194,46.2984,46.5549,1000
TEM1,T1,0.00646001,5.07247e-06,0.00027365,0.00645494,23.5883,23.5883,0.000999001,0.01998,0.00142714,True,-0.000542906,0.000545122,-0.000708487,0.000667126,1000
TEM1,T2,0,0,0,0,,,1,1,1,False,0,0,0,0,1000
TEM1,T3,0.583955,-0.37186,0.0629107,0.955815,15.1932,15.1932,0.000999001,0.01998,0.00142714,False,-0.501344,-0.248443,-0.537448,-0.212221,1000
TEM1,T3_std,0.0808968,-0.048374,0.008112,0.129271,15.9358,15.9358,0.000999001,0.01998,0.00142714,False,-0.0649317,-0.0324951,-0.0693813,-0.0277598,1000
TEM1,T_max,35.7065,35.1608,0.038741,0.545699,14.0858,14.0858,0.000999001,,,False,35.0881,35.2364,35.0578,35.2665,1000
