Scope,Statistic,Observed,NullMean,NullSD,EffectRaw,Z,CohensD,EmpiricalP,Bonferroni,FDR,CI95,CI99,BootCI95,N_perm
Global,T1,0.002794,-0.0003748,5.558e-05,0.003169,57.01,57.01,9.99e-04,—,9.99e-04,"[-0.00049, -0.000264]","[-0.000517, -0.000224]","[0.00267, 0.00291]",1000
Global,T2,17,1.013,1.995,15.99,8.01,8.01,9.99e-04,—,9.99e-04,"[0, 7]","[0, 8]","[14, 19]",1000
Global,T3,0.03989,-0.002085,0.0006766,0.04197,62.03,62.03,9.99e-04,—,9.99e-04,"[-0.00327, -0.000652]","[-0.0036, -0.000234]","[0.037, 0.0427]",1000
Global,T3_std,1.016,-0.6021,0.2009,1.618,8.05,8.05,9.99e-04,—,9.99e-04,"[-0.912, -0.18]","[-0.984, -0.0563]","[0.954, 1.07]",1000
Global,T_max,0.1809,0.01762,0.001743,0.1633,93.72,93.72,9.99e-04,—,—,"[0.0144, 0.0211]","[0.013, 0.0222]","[0.176, 0.187]",1000
CBS,T1,0.0005826,1.206e-05,0.0002541,0.0005706,2.25,2.25,3.00e-02,5.99e-01,3.75e-02,"[-0.000512, 0.000497]","[-0.000682, 0.000677]",—,1000
CBS,T2,0,0,0,0,nan,nan,1.00e+00,1.00e+00,1.00e+00,"[0, 0]","[0, 0]",—,1000
CBS,T3,0.6441,-0.02125,0.0413,0.6654,16.11,16.11,9.99e-04,2.00e-02,1.43e-03,"[-0.103, 0.0604]","[-0.122, 0.0788]",—,1000
CBS,T3_std,0.2683,-0.007665,0.01492,0.276,18.50,18.50,9.99e-04,2.00e-02,1.43e-03,"[-0.0373, 0.0219]","[-0.0448, 0.0281]",—,1000
CBS,T_max,19.73,19.92,0.04644,-0.195,-4.20,-4.20,1.00e+00,—,—,"[19.8, 20]","[19.8, 20]",—,1000
GAL4,T1,0.004565,-1.665e-06,0.0007264,0.004567,6.29,6.29,9.99e-04,2.00e-02,1.43e-03,"[-0.00147, 0.00145]","[-0.00183, 0.00174]",—,1000
GAL4,T2,0,0,0,0,nan,nan,1.00e+00,1.00e+00,1.00e+00,"[0, 0]","[0, 0]",—,1000
GAL4,T3,-18.97,-22.55,0.6912,3.583,5.18,5.18,9.99e-04,2.00e-02,1.43e-03,"[-23.9, -21.2]","[-24.3, -20.7]",—,1000
GAL4,T3_std,-1.016,-1.156,0.03056,0.1403,4.59,4.59,9.99e-04,2.00e-02,1.43e-03,"[-1.21, -1.09]","[-1.24, -1.08]",—,1000
GAL4,T_max,216.5,210.5,0.7455,6.007,8.06,8.06,9.99e-04,—,—,"[209, 212]","[209, 213]",—,1000
PABP,T1,0.003418,3.548e-07,6.044e-05,0.003418,56.55,56.55,9.99e-04,2.00e-02,1.43e-03,"[-0.000122, 0.000122]","[-0.000155, 0.00015]",—,1000
PABP,T2,1,0,0,1,nan,nan,9.99e-04,2.00e-02,1.43e-03,"[0, 0]","[0, 0]",—,1000
PABP,T3,0.04344,-0.005268,0.001258,0.04871,38.71,38.71,9.99e-04,2.00e-02,1.43e-03,"[-0.00766, -0.00268]","[-0.00834, -0.00195]",—,1000
PABP,T3_std,0.3727,-0.04041,0.009653,0.4131,42.80,42.80,9.99e-04,2.00e-02,1.43e-03,"[-0.0583, -0.0205]","[-0.0642, -0.0149]",—,1000
PABP,T_max,0.7207,0.5734,0.002581,0.1473,57.07,57.07,9.99e-04,—,—,"[0.568, 0.578]","[0.567, 0.58]",—,1000
PTEN,T1,0.001035,1.478e-05,0.0003543,0.00102,2.88,2.88,6.99e-03,1.40e-01,9.32e-03,"[-0.000661, 0.000709]","[-0.000914, 0.000971]",—,1000
PTEN,T2,0,0,0,0,nan,nan,1.00e+00,1.00e+00,1.00e+00,"[0, 0]","[0, 0]",—,1000
PTEN,T3,2.842,2.138,0.04835,0.7044,14.57,14.57,9.99e-04,2.00e-02,1.43e-03,"[2.04, 2.23]","[2.01, 2.25]",—,1000
PTEN,T3_std,0.3491,0.2525,0.005665,0.09657,17.05,17.05,9.99e-04,2.00e-02,1.43e-03,"[0.241, 0.264]","[0.237, 0.266]",—,1000
PTEN,T_max,46.89,46.43,0.05068,0.4583,9.04,9.04,9.99e-04,—,—,"[46.3, 46.5]","[46.3, 46.6]",—,1000
TEM1,T1,0.00646,5.072e-06,0.0002737,0.006455,23.59,23.59,9.99e-04,2.00e-02,1.43e-03,"[-0.000543, 0.000545]","[-0.000708, 0.000667]",—,1000
TEM1,T2,0,0,0,0,nan,nan,1.00e+00,1.00e+00,1.00e+00,"[0, 0]","[0, 0]",—,1000
TEM1,T3,0.584,-0.3719,0.06291,0.9558,15.19,15.19,9.99e-04,2.00e-02,1.43e-03,"[-0.501, -0.248]","[-0.537, -0.212]",—,1000
TEM1,T3_std,0.0809,-0.04837,0.008112,0.1293,15.94,15.94,9.99e-04,2.00e-02,1.43e-03,"[-0.0649, -0.0325]","[-0.0694, -0.0278]",—,1000
TEM1,T_max,35.71,35.16,0.03874,0.5457,14.09,14.09,9.99e-04,—,—,"[35.1, 35.2]","[35.1, 35.3]",—,1000
