Layer,Count,Proportion,Count_CBS,Count_GAL4,Count_PABP,Count_PTEN,Count_TEM1
1,7,0.014,2,2,0,3,0
2,7,0.014,2,2,0,3,0
3,6,0.012,2,2,1,1,0
4,9,0.018,3,3,1,2,0
5,14,0.028,3,3,3,2,3
6,11,0.022,3,3,1,2,2
7,11,0.022,1,3,2,2,3
8,17,0.034,1,3,6,2,5
9,14,0.028,1,4,6,2,1
10,27,0.054,1,3,18,3,2
11,22,0.044,1,5,7,0,9
12,10,0.02,1,3,2,3,1
13,9,0.018,1,3,2,3,0
14,15,0.03,1,3,2,3,6
15,12,0.024,1,2,1,3,5
16,15,0.03,2,3,3,3,4
17,13,0.026,3,1,2,3,4
18,13,0.026,2,0,7,3,1
19,8,0.016,1,1,4,1,1
20,8,0.016,1,1,4,0,2
21,3,0.006,1,0,1,0,1
22,3,0.006,1,0,1,0,1
23,4,0.008,1,0,1,0,2
24,4,0.008,1,0,1,0,2
25,2,0.004,2,0,0,0,0
26,5,0.01,2,0,1,0,2
27,17,0.034,1,0,4,0,12
28,23,0.046,2,1,10,2,8
29,15,0.03,2,2,6,2,3
30,36,0.072,2,16,1,10,7
31,51,0.102,11,19,1,18,2
32,73,0.146,31,12,1,21,8
33,16,0.032,10,0,0,3,3
